,rxns,diff_flux,abs_diff_flux,PathShort,PathLong,pathCommon,del_rxn1,del_rxn2,totalFluxDiff,solStatus,sl_size,common_sl_size,num_diff,net_diff,Organism,rxn1_short_bool,rxn2_short_bool,rxn1_cluster_len,rxn2_cluster_len,Subsystem 1,Subsystem 2,same_subsystems,Rxn_1_Type,Rxn_2_Type,PSL RSL Type,PSL Type
0,"['PFL', 'PGK', 'PGL', 'PGM', 'PPC', 'ATPM', 'PPCK', 'PPS', 'ADK1', 'ATPS4r', 'RPE', 'SUCCt2_2', 'CYTBD', 'SUCCt3', 'TALA', 'TKT1', 'TKT2', 'EX_for_e', 'EX_glc__D_e', 'EX_nh4_e', 'EX_pi_e', 'FRD7', 'G6PDH2r', 'GLNS', 'GLUDy', 'GLUN', 'GLUSy', 'GND', 'NADH16', 'NADTRHD', 'O2t']","[3.228262033139999, 7.033178378042498, 19.386533486062497, 6.791737816042498, 1.5151092067294223, 3.6648214252011684, 2.1497122184717457, 3.0793885003787813, 3.0793885003787813, 7.060641636672557, 13.040363328475, 4.022048648202647, 4.880880301779989, 4.022048648202647, 6.4910506338625, 6.4910506338625, 6.5493126946124995, 3.228262033139999, 0.5000127900400013, 0.8800314816000006, 0.5937081520249956, 2.5046530474462507, 19.386533486062497, 2.0146330358457005, 1.2444761280902337, 1.6501883893554674, 0.4057122612652334, 19.3865334860625, 9.89018639667249, 41.5402889107, 2.4404401508899944]","[3.228262033139999, 7.033178378042498, 19.386533486062497, 6.791737816042498, 1.5151092067294223, 3.6648214252011684, 2.1497122184717457, 3.0793885003787813, 3.0793885003787813, 7.060641636672557, 13.040363328475, 4.022048648202647, 4.880880301779989, 4.022048648202647, 6.4910506338625, 6.4910506338625, 6.5493126946124995, 3.228262033139999, 0.5000127900400013, 0.8800314816000006, 0.5937081520249956, 2.5046530474462507, 19.386533486062497, 2.0146330358457005, 1.2444761280902337, 1.6501883893554674, 0.4057122612652334, 19.3865334860625, 9.89018639667249, 41.5402889107, 2.4404401508899944]",[],"['PFL', 'PPCK', 'SUCCt2_2', 'SUCCt3', 'EX_for_e', 'FRD7', 'GLUN', 'GLUSy', 'NADTRHD']","['PGK', 'PGL', 'PGM', 'PPC', 'ATPM', 'PPS', 'ADK1', 'ATPS4r', 'RPE', 'CYTBD', 'TALA', 'TKT1', 'TKT2', 'EX_glc__D_e', 'EX_nh4_e', 'EX_pi_e', 'G6PDH2r', 'GLNS', 'GLUDy', 'GND', 'NADH16', 'O2t']",PFK,NADTRHD,4633.765779857534,1,31,22,31.0,208.15118783931305,e_coli_core,False,False,9,9,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
1,"['PGK', 'PGL', 'PGM', 'ACKr', 'PPCK', 'ACt2r', 'PPS', 'ADK1', 'RPE', 'SUCCt2_2', 'SUCCt3', 'TALA', 'TKT1', 'TKT2', 'FBP', 'FORt2', 'FRD7', 'G6PDH2r', 'GND', 'NADTRHD']","[0.9179261665037348, 2.330828876293702, 0.902631212103735, 0.017503528623556974, 0.2035417518521292, 0.017503528623556974, 0.057671493330602175, 0.057671493330602175, 1.5612348568491345, 0.041917953926128126, 0.041917953926128126, 0.7787720144745673, 0.7787720144745673, 0.7824628423745672, 0.20708344638698417, 0.013972651308709366, 0.38610644355008983, 2.330828876293702, 2.330828876293702, 4.836957764377402]","[0.9179261665037348, 2.330828876293702, 0.902631212103735, 0.017503528623556974, 0.2035417518521292, 0.017503528623556974, 0.057671493330602175, 0.057671493330602175, 1.5612348568491345, 0.041917953926128126, 0.041917953926128126, 0.7787720144745673, 0.7787720144745673, 0.7824628423745672, 0.20708344638698417, 0.013972651308709366, 0.38610644355008983, 2.330828876293702, 2.330828876293702, 4.836957764377402]","['ACKr', 'ACt2r']","['PPS', 'ADK1', 'SUCCt2_2', 'SUCCt3', 'FBP', 'FORt2', 'FRD7', 'NADTRHD']","['PGK', 'PGL', 'PGM', 'PPCK', 'RPE', 'TALA', 'TKT1', 'TKT2', 'G6PDH2r', 'GND']",PGI,NADTRHD,64.66033400027331,1,20,10,20.0,18.5961337448973,e_coli_core,False,False,8,8,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
2,"['PFL', 'ACALD', 'ALCD2x', 'ACALDt', 'ACKr', 'ACt2r', 'PYK', 'ETOHt2r', 'SUCOAS', 'THD2', 'EX_for_e', 'EX_lac__D_e', 'EX_pyr_e', 'FBP', 'FUM', 'GLNS', 'GLUN', 'GLUSy', 'ICL', 'MALS', 'MDH', 'PDH']","[0.5067384542046156, 0.2641818941150742, 0.01629291809668306, 0.24788897601839113, 0.4608721772256141, 0.4608721772256141, 1.5146761438314833, 0.01629291809668306, 2.088973269687655, 0.8159666600944364, 0.5067384542046156, 0.16947181748589657, 0.032287290453493364, 0.142984059176658, 0.2814705363923471, 0.06366891773521663, 0.048188981581811244, 0.0162516771084054, 2.3704438060799995, 2.3704438060799995, 2.6519143424723444, 1.40555411232204]","[0.5067384542046156, 0.2641818941150742, 0.01629291809668306, 0.24788897601839113, 0.4608721772256141, 0.4608721772256141, 1.5146761438314833, 0.01629291809668306, 2.088973269687655, 0.8159666600944364, 0.5067384542046156, 0.16947181748589657, 0.032287290453493364, 0.142984059176658, 0.2814705363923471, 0.06366891773521663, 0.048188981581811244, 0.0162516771084054, 2.3704438060799995, 2.3704438060799995, 2.6519143424723444, 1.40555411232204]","['ACALD', 'ALCD2x', 'ACALDt', 'ACKr', 'ACt2r', 'ETOHt2r']","['PFL', 'THD2', 'EX_for_e', 'EX_lac__D_e', 'EX_pyr_e', 'FBP', 'GLUN', 'GLUSy', 'ICL', 'MALS']","['PYK', 'SUCOAS', 'FUM', 'GLNS', 'MDH', 'PDH']",PPC,ICL,46.931810362325464,1,22,6,22.0,16.452173389689076,e_coli_core,False,False,10,10,Anaplerotic reactions,Anaplerotic reactions,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
3,"['PFL', 'ACALD', 'ALCD2x', 'ACALDt', 'ACKr', 'ACt2r', 'PYK', 'ETOHt2r', 'SUCOAS', 'THD2', 'EX_for_e', 'EX_lac__D_e', 'EX_pyr_e', 'FBP', 'FUM', 'GLNS', 'GLUN', 'GLUSy', 'ICL', 'MALS', 'MDH', 'PDH']","[0.5067384542046156, 0.2641818941150742, 0.01629291809668306, 0.24788897601839113, 0.4608721772256141, 0.4608721772256141, 1.5146761438314833, 0.01629291809668306, 2.088973269687655, 0.8159666600944364, 0.5067384542046156, 0.16947181748589657, 0.032287290453493364, 0.142984059176658, 0.2814705363923471, 0.06366891773521663, 0.048188981581811244, 0.0162516771084054, 2.3704438060799995, 2.3704438060799995, 2.6519143424723444, 1.40555411232204]","[0.5067384542046156, 0.2641818941150742, 0.01629291809668306, 0.24788897601839113, 0.4608721772256141, 0.4608721772256141, 1.5146761438314833, 0.01629291809668306, 2.088973269687655, 0.8159666600944364, 0.5067384542046156, 0.16947181748589657, 0.032287290453493364, 0.142984059176658, 0.2814705363923471, 0.06366891773521663, 0.048188981581811244, 0.0162516771084054, 2.3704438060799995, 2.3704438060799995, 2.6519143424723444, 1.40555411232204]","['ACALD', 'ALCD2x', 'ACALDt', 'ACKr', 'ACt2r', 'ETOHt2r']","['PFL', 'THD2', 'EX_for_e', 'EX_lac__D_e', 'EX_pyr_e', 'FBP', 'GLUN', 'GLUSy', 'ICL', 'MALS']","['PYK', 'SUCOAS', 'FUM', 'GLNS', 'MDH', 'PDH']",PPC,MALS,46.931810362325464,1,22,6,22.0,16.452173389689076,e_coli_core,False,False,10,10,Anaplerotic reactions,Anaplerotic reactions,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
4,"['PFL', 'PGK', 'PGL', 'PGM', 'PPC', 'ATPM', 'PPCK', 'PPS', 'ADK1', 'ATPS4r', 'RPE', 'SUCCt2_2', 'CYTBD', 'SUCCt3', 'TALA', 'TKT1', 'TKT2', 'EX_for_e', 'EX_glc__D_e', 'EX_nh4_e', 'EX_pi_e', 'FBP', 'FRD7', 'G6PDH2r', 'GLNS', 'GLUDy', 'GLUN', 'GLUSy', 'GND', 'NADH16', 'NADTRHD', 'O2t']","[3.228262033139999, 7.0331783780425035, 19.386533486062493, 6.791737816042503, 0.5718895920725546, 2.0376364742107054, 1.4657468821382218, 2.5843293183912217, 2.5843293183912217, 7.438512775400014, 13.040363328474992, 3.5535559686040203, 4.880880301779975, 3.5535559686040203, 6.491050633862496, 6.491050633862496, 6.549312694612496, 3.228262033139999, 0.5000127900400031, 0.8800314816000001, 0.5937081520250178, 4.419645856956603, 2.5046530474462507, 19.386533486062493, 1.0383220652514225, 0.919039137892141, 0.9993144089592816, 0.08027527106714079, 19.386533486062493, 9.890186396672476, 41.54028891069998, 2.4404401508899873]","[3.228262033139999, 7.0331783780425035, 19.386533486062493, 6.791737816042503, 0.5718895920725546, 2.0376364742107054, 1.4657468821382218, 2.5843293183912217, 2.5843293183912217, 7.438512775400014, 13.040363328474992, 3.5535559686040203, 4.880880301779975, 3.5535559686040203, 6.491050633862496, 6.491050633862496, 6.549312694612496, 3.228262033139999, 0.5000127900400031, 0.8800314816000001, 0.5937081520250178, 4.419645856956603, 2.5046530474462507, 19.386533486062493, 1.0383220652514225, 0.919039137892141, 0.9993144089592816, 0.08027527106714079, 19.386533486062493, 9.890186396672476, 41.54028891069998, 2.4404401508899873]",[],"['PFL', 'PPCK', 'SUCCt2_2', 'SUCCt3', 'EX_for_e', 'FBP', 'FRD7', 'GLUN', 'GLUSy', 'NADTRHD']","['PGK', 'PGL', 'PGM', 'PPC', 'ATPM', 'PPS', 'ADK1', 'ATPS4r', 'RPE', 'CYTBD', 'TALA', 'TKT1', 'TKT2', 'EX_glc__D_e', 'EX_nh4_e', 'EX_pi_e', 'G6PDH2r', 'GLNS', 'GLUDy', 'GND', 'NADH16', 'O2t']",TPI,NADTRHD,4587.194348451421,1,32,22,32.0,205.4891722784572,e_coli_core,False,False,10,10,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
5,"['PFL', 'PGK', 'PGL', 'PGM', 'PPC', 'ATPM', 'PPCK', 'PPS', 'ADK1', 'ATPS4r', 'RPE', 'SUCCt2_2', 'CYTBD', 'SUCCt3', 'TALA', 'TKT1', 'TKT2', 'EX_for_e', 'EX_glc__D_e', 'EX_nh4_e', 'EX_pi_e', 'FBP', 'FRD7', 'G6PDH2r', 'GLNS', 'GLUDy', 'GLUN', 'GLUSy', 'GND', 'NADH16', 'NADTRHD', 'O2t']","[3.228262033139999, 7.0331783780425035, 19.386533486062493, 6.791737816042503, 0.5718895920725546, 2.0376364742107054, 1.4657468821382218, 2.5843293183912217, 2.5843293183912217, 7.438512775400014, 13.040363328474992, 3.5535559686040203, 4.880880301779975, 3.5535559686040203, 6.491050633862496, 6.491050633862496, 6.549312694612496, 3.228262033139999, 0.5000127900400031, 0.8800314816000001, 0.5937081520250178, 4.419645856956603, 2.5046530474462507, 19.386533486062493, 1.0383220652514225, 0.919039137892141, 0.9993144089592816, 0.08027527106714079, 19.386533486062493, 9.890186396672476, 41.54028891069998, 2.4404401508899873]","[3.228262033139999, 7.0331783780425035, 19.386533486062493, 6.791737816042503, 0.5718895920725546, 2.0376364742107054, 1.4657468821382218, 2.5843293183912217, 2.5843293183912217, 7.438512775400014, 13.040363328474992, 3.5535559686040203, 4.880880301779975, 3.5535559686040203, 6.491050633862496, 6.491050633862496, 6.549312694612496, 3.228262033139999, 0.5000127900400031, 0.8800314816000001, 0.5937081520250178, 4.419645856956603, 2.5046530474462507, 19.386533486062493, 1.0383220652514225, 0.919039137892141, 0.9993144089592816, 0.08027527106714079, 19.386533486062493, 9.890186396672476, 41.54028891069998, 2.4404401508899873]",[],"['PFL', 'PPCK', 'SUCCt2_2', 'SUCCt3', 'EX_for_e', 'FBP', 'FRD7', 'GLUN', 'GLUSy', 'NADTRHD']","['PGK', 'PGL', 'PGM', 'PPC', 'ATPM', 'PPS', 'ADK1', 'ATPS4r', 'RPE', 'CYTBD', 'TALA', 'TKT1', 'TKT2', 'EX_glc__D_e', 'EX_nh4_e', 'EX_pi_e', 'G6PDH2r', 'GLNS', 'GLUDy', 'GND', 'NADH16', 'O2t']",FBA,NADTRHD,4587.194348451421,1,32,22,32.0,205.4891722784572,e_coli_core,False,False,10,10,Glycolysis/Gluconeogenesis,Oxidative Phosphorylation,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
6,"['PTAr', 'SUCCt3', 'EX_ac_e', 'EX_acald_e', 'EX_akg_e', 'EX_etoh_e', 'EX_lac__D_e', 'EX_pyr_e', 'EX_succ_e', 'FORt2', 'FRD7', 'GLNS', 'GLUDy', 'GLUSy', 'ME1', 'NADTRHD']","[0.04663446642062041, 0.054440736967374816, 0.04663446642062041, 0.028545808902046027, 0.017319402546073514, 0.017037646895310288, 0.03607242933998872, 0.050328616440317095, 0.0682652771622699, 0.0043070500192931155, 0.029766496655823094, 2.0304578008840966, 4.314762087645, 4.203511146059999, 0.014530297236824585, 0.10635570674381586]","[0.04663446642062041, 0.054440736967374816, 0.04663446642062041, 0.028545808902046027, 0.017319402546073514, 0.017037646895310288, 0.03607242933998872, 0.050328616440317095, 0.0682652771622699, 0.0043070500192931155, 0.029766496655823094, 2.0304578008840966, 4.314762087645, 4.203511146059999, 0.014530297236824585, 0.10635570674381586]",['GLUDy'],"['PTAr', 'EX_ac_e', 'EX_acald_e', 'EX_akg_e', 'EX_etoh_e', 'EX_lac__D_e', 'EX_pyr_e', 'EX_succ_e', 'FORt2', 'FRD7', 'GLUSy', 'ME1', 'NADTRHD']","['SUCCt3', 'GLNS']",GLUDy,GLUSy,45.37227715115431,1,16,2,16.0,11.068969436339472,e_coli_core,True,False,1,13,Glutamate Metabolism,Glutamate Metabolism,True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
7,"['PFK', 'PFL', 'PGI', 'PTAr', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'THD2', 'TPI', 'EX_ac_e', 'EX_etoh_e', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy', 'H2Ot', 'ICL', 'MALS']","[1.3005318652225304, 16.350293538655745, 2.6068526467975923, 4.805049378208755, 5.393478206532489, 17.717969385739462, 1.1719940005925302, 2.7725443229425313, 3.7230087606342845, 0.7575781164594659, 1.3005318652225304, 4.805049378208755, 5.791787998507878, 16.350293538655738, 11.809675774864782, 2.54038154496, 14.796000157149358, 1.713853724589998, 1.3005318652225304, 2.07557931574253, 2.4212545714699996, 26.903455177327206, 1.0440505548000705, 1.0440505548000705]","[1.3005318652225304, 16.350293538655745, 2.6068526467975923, 4.805049378208755, 5.393478206532489, 17.717969385739462, 1.1719940005925302, 2.7725443229425313, 3.7230087606342845, 0.7575781164594659, 1.3005318652225304, 4.805049378208755, 5.791787998507878, 16.350293538655738, 11.809675774864782, 2.54038154496, 14.796000157149358, 1.713853724589998, 1.3005318652225304, 2.07557931574253, 2.4212545714699996, 26.903455177327206, 1.0440505548000705, 1.0440505548000705]","['SUCOAS', 'H2Ot']","['PFL', 'THD2', 'EX_etoh_e', 'EX_for_e', 'ICL', 'MALS']","['PFK', 'PGI', 'PTAr', 'PYK', 'CO2t', 'RPI', 'ENO', 'TPI', 'EX_ac_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy']",H2Ot,PFL,6826.80399764003,1,24,16,24.0,150.4957962433068,e_coli_core,True,False,2,6,"Transport, Extracellular",Pyruvate Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
8,"['PFK', 'PFL', 'PGI', 'PTAr', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'THD2', 'TPI', 'EX_ac_e', 'EX_etoh_e', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'FRD7', 'GAPD', 'GLUDy', 'H2Ot', 'ICL', 'MALS', 'ME2']","[1.2945842510063326, 11.849986625698346, 2.589009804148996, 6.524142100243844, 5.387530592316335, 16.09272969986757, 1.1660463863763317, 2.766596708726336, 6.011167313871024, 2.1653736589212684, 1.2945842510063326, 6.524142100243844, 5.510228890015742, 11.849986625698346, 9.028461583942178, 2.54038154496, 15.139354819264131, 1.71385372458999, 1.2945842510063326, 2.0612197167966357, 2.069631701526337, 2.4212545714699996, 24.996656382963273, 1.8887278802777485, 1.8887278802777485, 0.8446773254777482]","[1.2945842510063326, 11.849986625698346, 2.589009804148996, 6.524142100243844, 5.387530592316335, 16.09272969986757, 1.1660463863763317, 2.766596708726336, 6.011167313871024, 2.1653736589212684, 1.2945842510063326, 6.524142100243844, 5.510228890015742, 11.849986625698346, 9.028461583942178, 2.54038154496, 15.139354819264131, 1.71385372458999, 1.2945842510063326, 2.0612197167966357, 2.069631701526337, 2.4212545714699996, 24.996656382963273, 1.8887278802777485, 1.8887278802777485, 0.8446773254777482]","['SUCOAS', 'H2Ot']","['PTAr', 'THD2', 'EX_ac_e', 'EX_etoh_e', 'FRD7', 'ICL', 'MALS', 'ME2']","['PFK', 'PFL', 'PGI', 'PYK', 'CO2t', 'RPI', 'ENO', 'TPI', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy']",H2Ot,ACALD,6185.96947553953,1,26,16,26.0,146.91364039069276,e_coli_core,True,False,2,8,"Transport, Extracellular",Pyruvate Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
9,"['PFK', 'PFL', 'PGI', 'PTAr', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'THD2', 'TPI', 'EX_ac_e', 'EX_etoh_e', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'FRD7', 'GAPD', 'GLUDy', 'H2Ot', 'ICL', 'MALS', 'ME2']","[1.2945842510063326, 11.849986625698346, 2.589009804148996, 6.524142100243844, 5.387530592316335, 16.09272969986757, 1.1660463863763317, 2.766596708726336, 6.011167313871024, 2.1653736589212684, 1.2945842510063326, 6.524142100243844, 5.510228890015742, 11.849986625698346, 9.028461583942178, 2.54038154496, 15.139354819264131, 1.71385372458999, 1.2945842510063326, 2.0612197167966357, 2.069631701526337, 2.4212545714699996, 24.996656382963273, 1.8887278802777485, 1.8887278802777485, 0.8446773254777482]","[1.2945842510063326, 11.849986625698346, 2.589009804148996, 6.524142100243844, 5.387530592316335, 16.09272969986757, 1.1660463863763317, 2.766596708726336, 6.011167313871024, 2.1653736589212684, 1.2945842510063326, 6.524142100243844, 5.510228890015742, 11.849986625698346, 9.028461583942178, 2.54038154496, 15.139354819264131, 1.71385372458999, 1.2945842510063326, 2.0612197167966357, 2.069631701526337, 2.4212545714699996, 24.996656382963273, 1.8887278802777485, 1.8887278802777485, 0.8446773254777482]","['SUCOAS', 'H2Ot']","['PTAr', 'THD2', 'EX_ac_e', 'EX_etoh_e', 'FRD7', 'ICL', 'MALS', 'ME2']","['PFK', 'PFL', 'PGI', 'PYK', 'CO2t', 'RPI', 'ENO', 'TPI', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy']",H2Ot,ALCD2x,6185.96947553953,1,26,16,26.0,146.91364039069276,e_coli_core,True,False,2,8,"Transport, Extracellular",Pyruvate Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
10,"['PFK', 'PFL', 'PGI', 'PTAr', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'THD2', 'TPI', 'EX_ac_e', 'EX_etoh_e', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'FRD7', 'GAPD', 'GLUDy', 'H2Ot', 'ICL', 'MALS', 'ME2']","[1.2945842510063326, 11.849986625698346, 2.589009804148996, 6.524142100243844, 5.387530592316335, 16.09272969986757, 1.1660463863763317, 2.766596708726336, 6.011167313871024, 2.1653736589212684, 1.2945842510063326, 6.524142100243844, 5.510228890015742, 11.849986625698346, 9.028461583942178, 2.54038154496, 15.139354819264131, 1.71385372458999, 1.2945842510063326, 2.0612197167966357, 2.069631701526337, 2.4212545714699996, 24.996656382963273, 1.8887278802777485, 1.8887278802777485, 0.8446773254777482]","[1.2945842510063326, 11.849986625698346, 2.589009804148996, 6.524142100243844, 5.387530592316335, 16.09272969986757, 1.1660463863763317, 2.766596708726336, 6.011167313871024, 2.1653736589212684, 1.2945842510063326, 6.524142100243844, 5.510228890015742, 11.849986625698346, 9.028461583942178, 2.54038154496, 15.139354819264131, 1.71385372458999, 1.2945842510063326, 2.0612197167966357, 2.069631701526337, 2.4212545714699996, 24.996656382963273, 1.8887278802777485, 1.8887278802777485, 0.8446773254777482]","['SUCOAS', 'H2Ot']","['PTAr', 'THD2', 'EX_ac_e', 'EX_etoh_e', 'FRD7', 'ICL', 'MALS', 'ME2']","['PFK', 'PFL', 'PGI', 'PYK', 'CO2t', 'RPI', 'ENO', 'TPI', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy']",H2Ot,ETOHt2r,6185.96947553953,1,26,16,26.0,146.91364039069276,e_coli_core,True,False,2,8,"Transport, Extracellular","Transport, Extracellular",True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
11,"['PFK', 'PFL', 'PGI', 'PTAr', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'THD2', 'TPI', 'EX_ac_e', 'EX_etoh_e', 'EX_for_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy', 'H2Ot', 'ICL', 'MALS']","[1.3005318652225304, 16.350293538655745, 2.6068526467975923, 4.805049378208755, 5.393478206532489, 17.717969385739462, 1.1719940005925302, 2.7725443229425313, 3.7230087606342845, 0.7575781164594659, 1.3005318652225304, 4.805049378208755, 5.791787998507878, 16.350293538655738, 11.809675774864782, 2.54038154496, 14.796000157149358, 1.713853724589998, 1.3005318652225304, 2.07557931574253, 2.4212545714699996, 26.903455177327206, 1.0440505548000705, 1.0440505548000705]","[1.3005318652225304, 16.350293538655745, 2.6068526467975923, 4.805049378208755, 5.393478206532489, 17.717969385739462, 1.1719940005925302, 2.7725443229425313, 3.7230087606342845, 0.7575781164594659, 1.3005318652225304, 4.805049378208755, 5.791787998507878, 16.350293538655738, 11.809675774864782, 2.54038154496, 14.796000157149358, 1.713853724589998, 1.3005318652225304, 2.07557931574253, 2.4212545714699996, 26.903455177327206, 1.0440505548000705, 1.0440505548000705]","['SUCOAS', 'H2Ot']","['PFL', 'THD2', 'EX_etoh_e', 'EX_for_e', 'ICL', 'MALS']","['PFK', 'PGI', 'PTAr', 'PYK', 'CO2t', 'RPI', 'ENO', 'TPI', 'EX_ac_e', 'EX_h_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy']",H2Ot,FORt,6826.80399764003,1,24,16,24.0,150.4957962433068,e_coli_core,True,False,2,6,"Transport, Extracellular","Transport, Extracellular",True,pFBAOpt_Rxns,MLE_Rxns,PSL,True
12,"['PFK', 'PFL', 'PGI', 'ACKr', 'ACt2r', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'TPI', 'EX_etoh_e', 'EX_for_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy', 'H2Ot']","[1.5463534543510313, 12.647841465819006, 2.8906005754980937, 1.6879891459400898, 1.6879891459400898, 5.663673949366036, 11.629956565304298, 1.3727720591560313, 3.534203313931034, 2.395251795789121, 1.5463534543510313, 14.565859061070245, 12.647841465819006, 3.43060758144, 19.14453914506001, 2.3144395741350046, 1.5463534543510313, 2.5930008231310318, 3.269734936455, 30.778767112994583]","[1.5463534543510313, 12.647841465819006, 2.8906005754980937, 1.6879891459400898, 1.6879891459400898, 5.663673949366036, 11.629956565304298, 1.3727720591560313, 3.534203313931034, 2.395251795789121, 1.5463534543510313, 14.565859061070245, 12.647841465819006, 3.43060758144, 19.14453914506001, 2.3144395741350046, 1.5463534543510313, 2.5930008231310318, 3.269734936455, 30.778767112994583]","['ACKr', 'ACt2r']","['PFL', 'EX_etoh_e', 'EX_for_e']","['PFK', 'PGI', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'TPI', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy', 'H2Ot']",NADH16,PFL,8890.781091753657,1,20,15,20.0,136.89412807990178,e_coli_core,False,False,3,3,Oxidative Phosphorylation,Pyruvate Metabolism,False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
13,"['PFK', 'PFL', 'PGI', 'ACKr', 'ACt2r', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'TPI', 'EX_etoh_e', 'EX_for_e', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy', 'H2Ot']","[1.5463534543510313, 12.647841465819006, 2.8906005754980937, 1.6879891459400898, 1.6879891459400898, 5.663673949366036, 11.629956565304298, 1.3727720591560313, 3.534203313931034, 2.395251795789121, 1.5463534543510313, 14.565859061070245, 12.647841465819006, 3.43060758144, 19.14453914506001, 2.3144395741350046, 1.5463534543510313, 2.5930008231310318, 3.269734936455, 30.778767112994583]","[1.5463534543510313, 12.647841465819006, 2.8906005754980937, 1.6879891459400898, 1.6879891459400898, 5.663673949366036, 11.629956565304298, 1.3727720591560313, 3.534203313931034, 2.395251795789121, 1.5463534543510313, 14.565859061070245, 12.647841465819006, 3.43060758144, 19.14453914506001, 2.3144395741350046, 1.5463534543510313, 2.5930008231310318, 3.269734936455, 30.778767112994583]","['ACKr', 'ACt2r']","['PFL', 'EX_etoh_e', 'EX_for_e']","['PFK', 'PGI', 'PYK', 'CO2t', 'RPI', 'ENO', 'SUCOAS', 'TPI', 'EX_nh4_e', 'EX_o2_e', 'EX_pi_e', 'FBA', 'GAPD', 'GLUDy', 'H2Ot']",NADH16,FORt,8890.781091753657,1,20,15,20.0,136.89412807990178,e_coli_core,False,False,3,3,Oxidative Phosphorylation,"Transport, Extracellular",False,pFBAOpt_Rxns,MLE_Rxns,PSL,True
