,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Type
0,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,NADTRHD,MLE_Rxns,0.0,0.000398209000092464,7.47738196216028,0.0,PSL
1,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,NADTRHD,MLE_Rxns,0.0,0.000398209000092464,4.860861146496861,0.0,PSL
2,PPC,pFBAOpt_Rxns,2.50390980859947,2.50444075393337,ICL,MLE_Rxns,0.0,0.000398209000505246,2.5043094703687303,0.0,PSL
3,PPC,pFBAOpt_Rxns,2.50390980859947,2.50444075393337,MALS,MLE_Rxns,0.0,0.000398209000505246,2.5043094703687303,0.0,PSL
4,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,NADTRHD,MLE_Rxns,0.0,0.000398209000092464,7.47738196216028,0.0,PSL
5,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,NADTRHD,MLE_Rxns,0.0,0.000398209000092464,7.47738196216028,0.0,PSL
6,GLUDy,pFBAOpt_Rxns,-4.541862203340769,-4.54175527685004,GLUSy,MLE_Rxns,0.0,9.9552249994056e-05,-4.54185746386565,0.0,PSL
7,H2Ot,pFBAOpt_Rxns,-29.175845016900002,-29.175778648733395,PFL,MLE_Rxns,0.0,6.63681665695748e-05,-29.1758271355658,0.0,PSL
8,H2Ot,pFBAOpt_Rxns,-29.175845016900002,-29.175778648733395,ACALD,MLE_Rxns,-1.47484814760901e-05,0.0,-29.1758271355658,0.0,RSL
9,H2Ot,pFBAOpt_Rxns,-29.175845016900002,-29.175778648733395,ALCD2x,MLE_Rxns,-1.2845451578869e-05,0.0,-29.1758271355658,0.0,RSL
10,H2Ot,pFBAOpt_Rxns,-29.175845016900002,-29.175778648733395,ETOHt2r,MLE_Rxns,-1.2845451578869e-05,0.0,-29.1758271355658,0.0,RSL
11,H2Ot,pFBAOpt_Rxns,-29.175845016900002,-29.175778648733395,FORt,MLE_Rxns,-0.000398208999854432,0.0,-29.1758271355658,0.0,RSL
12,NADH16,pFBAOpt_Rxns,38.53456334482,38.53472262842,PFL,MLE_Rxns,0.0,6.63681665695748e-05,38.5346096505154,0.0,PSL
13,NADH16,pFBAOpt_Rxns,38.53456334482,38.53472262842,FORt,MLE_Rxns,-0.000398208999854432,0.0,38.5346096505154,0.0,RSL
14,PDH,pFBAOpt_Rxns,9.28246149507998,9.28285970408044,PFL,MLE_Rxns,0.0,6.63681665695748e-05,9.28253259916661,0.0,PSL
15,PDH,pFBAOpt_Rxns,9.28246149507998,9.28285970408044,FORt,MLE_Rxns,-0.000398208999854432,0.0,9.28253259916661,0.0,RSL
16,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,4.860861146496861,7.47738196216028,RSL
17,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,4.95998494457466,7.47738196216028,RSL
18,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,4.95998494457466,4.860861146496861,RSL
19,CO2t,pFBAOpt_Rxns,-22.8098548845001,-22.8097885163334,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,-22.809833310205,7.47738196216028,RSL
20,CO2t,pFBAOpt_Rxns,-22.8098548845001,-22.8097885163334,PPC,pFBAOpt_Rxns,2.50390980859947,2.50444075393337,-22.809833310205,2.5043094703687303,RSL
21,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,2.67848185050752,7.47738196216028,RSL
22,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,2.67848185050752,4.860861146496861,RSL
23,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,2.67848185050752,4.95998494457466,RSL
24,CYTBD,pFBAOpt_Rxns,43.598941141911205,43.599029632800104,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,43.5989853119975,7.47738196216028,RSL
25,CYTBD,pFBAOpt_Rxns,43.598941141911205,43.599029632800104,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,43.5989853119975,4.860861146496861,RSL
26,CYTBD,pFBAOpt_Rxns,43.598941141911205,43.599029632800104,PPC,pFBAOpt_Rxns,2.50390980859947,2.50444075393337,43.5989853119975,2.5043094703687303,RSL
27,SUCDi,pFBAOpt_Rxns,5.06430700437998,1000.0,PPC,pFBAOpt_Rxns,2.50390980859947,2.50444075393337,5.0643756614821,2.5043094703687303,RSL
28,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,1.49698375726155,7.47738196216028,RSL
29,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,1.49698375726155,4.860861146496861,RSL
30,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,1.49698375726155,4.95998494457466,RSL
31,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,1.49698375726155,2.67848185050752,RSL
32,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,1.49698375726155,7.47738196216028,RSL
33,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,1.49698375726155,4.860861146496861,RSL
34,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,1.49698375726155,4.95998494457466,RSL
35,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,1.49698375726155,2.67848185050752,RSL
36,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,1.18149809324598,7.47738196216028,RSL
37,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,1.18149809324598,4.860861146496861,RSL
38,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,1.18149809324598,4.95998494457466,RSL
39,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,1.18149809324598,2.67848185050752,RSL
40,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,1.18149809324598,1.49698375726155,RSL
41,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,1.18149809324598,1.49698375726155,RSL
42,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,7.47738196216028,4.860861146496861,RSL
43,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,7.47738196216028,4.95998494457466,RSL
44,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,CO2t,pFBAOpt_Rxns,-22.8098548845001,-22.8097885163334,7.47738196216028,-22.809833310205,RSL
45,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,7.47738196216028,2.67848185050752,RSL
46,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,CYTBD,pFBAOpt_Rxns,43.598941141911205,43.599029632800104,7.47738196216028,43.5989853119975,RSL
47,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,7.47738196216028,1.49698375726155,RSL
48,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,7.47738196216028,1.49698375726155,RSL
49,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,7.47738196216028,1.18149809324598,RSL
50,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,7.47738196216028,4.860861146496861,RSL
51,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,PGL,pFBAOpt_Rxns,4.95973618055991,4.96021403136029,7.47738196216028,4.95998494457466,RSL
52,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,CO2t,pFBAOpt_Rxns,-22.8098548845001,-22.8097885163334,7.47738196216028,-22.809833310205,RSL
53,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,7.47738196216028,2.67848185050752,RSL
54,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,CYTBD,pFBAOpt_Rxns,43.598941141911205,43.599029632800104,7.47738196216028,43.5989853119975,RSL
55,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,7.47738196216028,1.49698375726155,RSL
56,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,7.47738196216028,1.49698375726155,RSL
57,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,7.47738196216028,1.18149809324598,RSL
58,FUM,pFBAOpt_Rxns,5.06430700438,5.06446628798005,PPC,pFBAOpt_Rxns,2.50390980859947,2.50444075393337,5.06437566148213,2.5043094703687303,RSL
59,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,PFK,pFBAOpt_Rxns,7.477306104179981,7.477485298229981,4.95998494457467,7.47738196216028,RSL
60,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,PGI,pFBAOpt_Rxns,4.86063216363993,4.8611100144401,4.95998494457467,4.860861146496861,RSL
61,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,RPE,pFBAOpt_Rxns,2.67831637223992,2.67863493944003,4.95998494457467,2.67848185050752,RSL
62,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,TALA,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,4.95998494457467,1.49698375726155,RSL
63,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,TKT1,pFBAOpt_Rxns,1.4969009266200102,1.49706021022007,4.95998494457467,1.49698375726155,RSL
64,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,TKT2,pFBAOpt_Rxns,1.18141544562002,1.18157472922007,4.95998494457467,1.18149809324598,RSL
65,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,TPI,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,4.95998494457467,7.47738196216028,RSL
66,G6PDH2r,pFBAOpt_Rxns,4.95973618055996,4.96021403136024,FBA,pFBAOpt_Rxns,7.47730610417989,7.477465387780059,4.95998494457467,7.47738196216028,RSL
