Rxn_1,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Min,Rxn_2_Max,v1,v2,Rxn1_Prod,Rxn2_Prod
3OAS180,0,11.0788144038983,AACPS6,0,26.8949262696293,0,0,0,0
3OAS180,0,11.0788144038983,ACOAD8f,-0.00215645972334196,11.0787081651515,0,-0.0828663206662332,0,-1
3OAS180,0,11.0788144038983,FACOAE180,0,15.2646878827561,0,0,0,0
3OAS180,0,11.0788144038983,FACOAL181t2pp,0,15.2646878827622,0,0,0,0
3OAS181,0,11.0788529414795,AACPS5,0,26.8949262696192,0.00212477745298034,0.00743672108543118,0,0
3OAS181,0,11.0788529414795,ACOAD8f,-0.00215645972334196,11.0787081651515,0.00212477745298034,-0.0828663206662332,0,-1
3OAS181,0,11.0788529414795,FACOAE181,0,15.2646878827574,0.00212477745298034,0,0,0
3OAS181,0,11.0788529414795,FACOAL180t2pp,0,15.2646878827582,0.00212477745298034,0,0,0
3OAS181,0,11.0788529414795,CTECOAI8_copy2,-1000,11.0786935833535,0.00212477745298034,0,0,-1
AACPS1,0,35.3024289396838,3HAD140,0,11.08108910017,0.0013730458437535,0,0,0
AACPS3,0,35.3037340399258,3OAS160,0,11.0816703513368,0,0,0,0
AACPS3,0,35.3037340399258,3HAD160,0,11.0816703513368,0,0,0,0
AACPS3,0,35.3037340399258,3OAR160,0,11.0816703513368,0,0,0,0
AACPS4,0,35.2999625644972,3OAS161,0,11.0789341828668,0.0828663206662332,0,0,0
AACPS4,0,35.2999625644972,3HAD161,0,11.0789341828668,0.0828663206662332,0,0,0
AACPS4,0,35.2999625644972,3OAR161,0,11.0789341828668,0.0828663206662332,0,0,0
AACPS7,0,35.3000884268619,3OAS120,0,11.0798243045696,0,0,0,0
AACPS7,0,35.3000884268619,3HAD120,0,11.0798243045696,0,0,0,0
AACPS7,0,35.3000884268619,3OAR120,0,11.0798243045696,0,0,0,0
ACOAD1f,-3.50528717970542,6.20423660913849,3OAR60,0,6.20963315458209,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3OAR80,0,6.20963315458528,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3OAS100,0,8.69348641641638,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3OAS60,0,6.20963315458214,0,0.00318716617947051,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3OAS80,0,6.20963315458528,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3HAD100,0,8.69348641641638,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3HAD40,0,6.20963315458173,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3HAD60,0,6.20963315458214,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3HAD80,0,6.20963315458528,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3OAR100,0,8.69348641641638,0,0,-1,0
ACOAD1f,-3.50528717970542,6.20423660913849,3OAR40,0,6.20963315458173,0,0,-1,0
ACOAD2f,-3.50528717970542,6.20423660913849,3OAR60,0,6.20963315458209,-0.107922575610034,0,-1,0
