del_rxn1,del_rxn2,sl_size,one_norm_sl_size,two_norm_sl_size
FACOAE161,3OAS161,16,17,1184
ECOAH2,3HAD100,36,33,1216
ECOAH2,3HAD40,29,26,1238
ECOAH2,3HAD60,29,26,1238
ECOAH2,3HAD80,29,26,1238
ECOAH2,3OAR40,29,26,1238
ECOAH2,3OAR60,29,26,1238
ECOAH2,3OAR80,29,26,1238
ECOAH2,3OAS100,36,33,1216
ECOAH2,3OAR100,36,33,1216
ECOAH2,3OAS60,29,26,1238
ECOAH2,3OAS80,29,26,1238
ECOAH3,3HAD100,36,33,1195
ECOAH3,3HAD40,28,29,1239
ECOAH3,3HAD60,28,29,1239
ECOAH3,3HAD80,28,29,1239
ECOAH3,3OAR40,28,29,1239
ECOAH3,3OAR60,28,29,1239
ECOAH3,3OAR80,28,29,1239
ECOAH3,3OAS100,36,33,1195
ECOAH3,3OAR100,36,33,1195
ECOAH3,3OAS60,28,29,1239
ECOAH3,3OAS80,28,29,1239
ECOAH4,3HAD100,15,15,1163
ECOAH4,3OAS100,15,15,1163
ECOAH4,3OAR100,15,15,1163
FUM,SUCCtex,358,367,807
G3PAT160,APG3PAT160,3,3,1170
G3PAT161,APG3PAT161,3,3,1171
G5SD,NACODA,8,8,1223
GLU5K,NACODA,8,8,1223
GLUDy,GLUSy,3,3,903
HACD1,3HAD100,37,34,1222
HACD1,3HAD40,29,27,1246
HACD1,3HAD60,29,27,1246
HACD1,3HAD80,29,27,1246
HACD1,3OAR40,29,27,1246
HACD1,3OAR60,29,27,1246
HACD1,3OAR80,29,27,1246
HACD1,3OAS100,37,34,1222
HACD1,3OAR100,37,34,1222
HACD1,3OAS60,29,27,1246
HACD1,3OAS80,29,27,1246
HACD2,3HAD100,37,37,1212
HACD2,3HAD40,29,29,1227
HACD2,3HAD60,29,29,1227
HACD2,3HAD80,29,29,1227
HACD2,3OAR40,29,29,1227
HACD2,3OAR60,29,29,1227
HACD2,3OAR80,29,29,1227
HACD2,3OAS100,37,37,1212
HACD2,3OAR100,37,37,1212
HACD2,3OAS60,29,29,1227
HACD2,3OAS80,29,29,1227
HACD3,3HAD100,36,37,1193
HACD3,3HAD40,28,27,1238
HACD3,3HAD60,28,27,1238
HACD3,3HAD80,28,27,1238
HACD3,3OAR40,28,27,1238
HACD3,3OAR60,28,27,1238
HACD3,3OAR80,28,27,1238
HACD3,3OAS100,36,37,1193
HACD3,3OAR100,36,37,1193
HACD3,3OAS60,28,27,1238
HACD3,3OAS80,28,27,1238
HACD4,3HAD100,15,15,1170
HACD4,3OAS100,15,15,1170
HACD4,3OAR100,15,15,1170
I2FE2SR,S2FE2SR,2,2,3
I2FE2SS,S2FE2SS,102,102,78
I2FE2SS,S2FE2SS2,91,92,67
I2FE2SS,S2FE2ST,5,5,8
I2FE2SS,S4FE4SR,91,92,67
I2FE2SS,S4FE4ST,91,92,67
I2FE2SS,SCYSDS,100,95,80
I2FE2SS2,S2FE2SS,100,98,56
I2FE2SS2,S2FE2SS2,98,88,62
I2FE2SS2,S4FE4SR,98,88,62
I2FE2SS2,S4FE4ST,98,88,62
I2FE2SS2,SCYSDS,100,100,57
I2FE2ST,S2FE2SS,5,5,95
I2FE2ST,S2FE2ST,11,11,10
I2FE2ST,SCYSDS,7,7,127
I4FE4SR,S2FE2SS,100,98,56
I4FE4SR,S2FE2SS2,98,88,62
I4FE4SR,S4FE4SR,98,88,62
I4FE4SR,S4FE4ST,98,88,62
I4FE4SR,SCYSDS,100,92,57
I4FE4ST,S2FE2SS,100,97,56
I4FE4ST,S2FE2SS2,98,95,62
I4FE4ST,S4FE4SR,98,95,62
I4FE4ST,S4FE4ST,98,95,62
I4FE4ST,SCYSDS,100,96,57
IMPD,HXAND,4,4,1197
IMPD,XPPT,4,4,1216
Kt2pp,Kabcpp,196,196,1202
MN2tpp,MNt2pp,20,113,263
NDPK1,ADK3,2,3,1213
NI2tpp,NI2uabcpp,41,57,25
O2tex,CPPPGO2,447,439,502
O2tex,OPHHX3,445,438,511
O2tex,SUCCtex,447,438,502
O2tpp,CPPPGO2,444,434,501
O2tpp,OPHHX3,442,436,509
O2tpp,SUCCtex,442,436,491
OPHHX,OPHHX3,56,70,288
PAPSR,GRXR,5,5,1156
PAPSR,GTHOr,5,5,1173
PAPSR,PAPSR2,8,10,1150
PDX5PO2,PDX5POi,2,3,354
PIt2rpp,PIuabcpp,210,227,1189
PPK,PPA,208,215,672
PPPGO3,PPPGO,9,10,559
RNTR1c2,NDPK8,5,5,1177
RNTR2c2,NDPK5,5,5,1198
RNTR3c2,NDPK7,6,6,1201
RPI,TALA,430,421,519
PRPPS,R15BPK,4,5,1196
PRPPS,R1PK,4,4,1196
SO4t2pp,SULabcpp,192,215,1188
TRPS3,TRPS1,3,3,1174
TRDR,GRXR,5,5,1147
TRDR,PAPSR2,5,5,1161
ZN2tpp,ZNabcpp,48,46,19
MECDPDH2,MECDPDH5,4,2,967
VALTA,ALATA_L,3,2,4
ADPT,ADD,49,49,110
ADPT,HXPRT,47,45,115
ALAD_L,FADOX,240,244,275
ANS2,ANS,3,3,131
DHPS,FOLD3,5,5,147
DHPS,HPPK,5,5,147
CAT,CCP,39,40,119
GARFT,FTHFD,57,55,149
GART,FTHFLi,3,3,98
HCO3E,H2CO3D,3,3,65
HCO3E,H2CO3D2,3,3,148
HEMEti,CPPPGO,23,24,44
HEMEti,FCLT,23,24,44
HEMEti,FE2abc,23,24,44
HEMEti,GLUTRR,23,24,44
HEMEti,GLUTRS,23,24,44
HEMEti,G1SAT,23,24,44
HEMEti,HMBS,23,24,44
HEMEti,PPBNGS,23,24,44
HEMEti,PPPGO,23,24,44
HEMEti,UPP3S,23,24,44
HEMEti,UPPDC1,23,24,44
ME1,AKO,23,24,159
ME1,FADOX,28,29,168
NH4t,ARGSL,306,313,294
NH4t,ARGSS,306,313,294
NH4t,OCBT,306,313,294
NH4t,UREAt,307,308,304
TKT2,GND,21,22,169
TKT2,PGL,67,67,200
TRPS1,TRPS2,3,3,8
TRPS1,TRPS3,3,3,8
UREA,UREAt,21,18,161
URIDK2r,DUTPDP,5,5,141
RNDR4,DCTPD,8,8,140
RPE,GND,21,21,172
RPE,PGL,65,64,194
AACPS3,3HAD160,15,15,1245
AACPS3,3OAR160,15,15,1245
AACPS3,3OAS160,15,15,1245
AACPS4,3HAD161,17,17,1225
AACPS4,3OAR161,17,17,1225
AACPS4,3OAS161,17,17,1225
AACPS7,3HAD120,15,15,1142
AACPS7,3OAR120,15,15,1142
AACPS7,3OAS120,15,15,1142
ACACT1r,3HAD100,37,37,1205
ACACT1r,3HAD40,29,29,1202
ACACT1r,3HAD60,29,29,1202
ACACT1r,3HAD80,29,29,1202
ACACT1r,3OAR100,37,37,1205
ACACT1r,3OAR40,29,29,1202
ACACT1r,3OAR60,29,29,1202
ACACT1r,3OAR80,29,29,1202
ACACT1r,3OAS100,37,37,1205
ACACT1r,3OAS60,29,29,1202
ACACT1r,3OAS80,29,29,1202
ACACT2r,3HAD100,37,37,1198
ACACT2r,3HAD40,29,29,1220
ACACT2r,3HAD60,29,29,1220
ACACT2r,3HAD80,29,29,1220
ACACT2r,3OAR100,37,37,1198
ACACT2r,3OAR40,29,29,1220
ACACT2r,3OAR60,29,29,1220
ACACT2r,3OAR80,29,29,1220
ACACT2r,3OAS100,37,37,1198
ACACT2r,3OAS60,29,29,1220
ACACT2r,3OAS80,29,29,1220
ACACT3r,3HAD100,37,37,1116
ACACT3r,3HAD40,29,29,1163
ACACT3r,3HAD60,29,29,1163
ACACT3r,3HAD80,29,29,1163
ACACT3r,3OAR100,37,37,1116
ACACT3r,3OAR40,29,29,1163
ACACT3r,3OAR60,29,29,1163
ACACT3r,3OAR80,29,29,1163
ACACT3r,3OAS100,37,37,1116
ACACT3r,3OAS60,29,29,1163
ACACT3r,3OAS80,29,29,1163
ACACT4r,3HAD100,15,15,1146
ACACT4r,3OAR100,15,15,1146
ACACT4r,3OAS100,15,15,1146
ACOAD1f,3HAD100,37,37,1203
ACOAD1f,3HAD40,29,29,1212
ACOAD1f,3HAD60,29,29,1212
ACOAD1f,3HAD80,29,29,1212
ACOAD1f,3OAR100,37,37,1203
ACOAD1f,3OAR40,29,29,1212
ACOAD1f,3OAR60,29,29,1212
ACOAD1f,3OAR80,29,29,1212
ACOAD1f,3OAS100,37,37,1203
ACOAD1f,3OAS60,29,29,1212
ACOAD1f,3OAS80,29,29,1212
ACOAD2f,3HAD100,37,37,1198
ACOAD2f,3HAD40,29,29,1220
ACOAD2f,3HAD60,29,29,1220
ACOAD2f,3HAD80,29,29,1220
ACOAD2f,3OAR100,37,37,1198
ACOAD2f,3OAR40,29,29,1220
ACOAD2f,3OAR60,29,29,1220
ACOAD2f,3OAR80,29,29,1220
ACOAD2f,3OAS100,37,37,1198
ACOAD2f,3OAS60,29,29,1220
ACOAD2f,3OAS80,29,29,1220
ACOAD3f,3HAD100,37,37,1116
ACOAD3f,3HAD40,29,29,1163
ACOAD3f,3HAD60,29,29,1163
ACOAD3f,3HAD80,29,29,1163
ACOAD3f,3OAR100,37,37,1116
ACOAD3f,3OAR40,29,29,1163
ACOAD3f,3OAR60,29,29,1163
ACOAD3f,3OAR80,29,29,1163
ACOAD3f,3OAS100,37,37,1116
ACOAD3f,3OAS60,29,29,1163
ACOAD3f,3OAS80,29,29,1163
ACOAD4f,3HAD100,15,15,1146
ACOAD4f,3OAR100,15,15,1146
ACOAD4f,3OAS100,15,15,1146
ALATA_L,VPAMTr,3,3,1232
ASNS2,ASNS1,3,3,1254
CPPPGO,CPPPGO2,10,10,913
CTECOAI7,3HAD161,17,17,1241
CTECOAI7,3OAR161,17,17,1241
CTECOAI7,3OAS161,17,17,1241
DALAt2pp,DALAtex,8,8,1152
DUTPDP,DURIK1,249,232,1149
DMPPS,IPDDI,3,3,253
ECOAH1,3HAD100,37,37,1203
ECOAH1,3HAD40,29,29,1212
ECOAH1,3HAD60,29,29,1212
ECOAH1,3HAD80,29,29,1212
ECOAH1,3OAR100,37,37,1203
ECOAH1,3OAR40,29,29,1212
ECOAH1,3OAR60,29,29,1212
ECOAH1,3OAR80,29,29,1212
ECOAH1,3OAS100,37,37,1203
ECOAH1,3OAS60,29,29,1212
ECOAH1,3OAS80,29,29,1212
ECOAH2,3HAD100,37,37,1198
ECOAH2,3HAD40,29,29,1220
ECOAH2,3HAD60,29,29,1220
ECOAH2,3HAD80,29,29,1220
ECOAH2,3OAR100,37,37,1198
ECOAH2,3OAR40,29,29,1220
ECOAH2,3OAR60,29,29,1220
ECOAH2,3OAR80,29,29,1220
ECOAH2,3OAS100,37,37,1198
ECOAH2,3OAS60,29,29,1220
ECOAH2,3OAS80,29,29,1220
ECOAH3,3HAD100,37,37,1116
ECOAH3,3HAD40,29,29,1163
ECOAH3,3HAD60,29,29,1163
ECOAH3,3HAD80,29,29,1163
ECOAH3,3OAR100,37,37,1116
ECOAH3,3OAR40,29,29,1163
ECOAH3,3OAR60,29,29,1163
ECOAH3,3OAR80,29,29,1163
ECOAH3,3OAS100,37,37,1116
ECOAH3,3OAS60,29,29,1163
ECOAH3,3OAS80,29,29,1163
ECOAH4,3HAD100,15,15,1146
ECOAH4,3OAR100,15,15,1146
ECOAH4,3OAS100,15,15,1146
FACOAE120,3HAD120,15,15,1138
FACOAE120,3OAR120,15,15,1138
FACOAE120,3OAS120,15,15,1138
FUM,SUCCtex,349,365,781
FACOAE160,3HAD160,15,15,1219
FACOAE160,3OAR160,15,15,1219
FACOAE160,3OAS160,15,15,1219
FACOAE161,3HAD161,17,17,1213
FACOAE161,3OAR161,17,17,1213
FACOAE161,3OAS161,17,17,1213
G3PAT160,APG3PAT160,3,3,1207
G3PAT161,APG3PAT161,3,3,1199
G5SD,NACODA,7,8,1255
GLU5K,NACODA,7,8,1255
GLUDy,GLUSy,3,3,863
HACD1,3HAD100,37,37,1203
HACD1,3HAD40,29,29,1212
HACD1,3HAD60,29,29,1212
HACD1,3HAD80,29,29,1212
HACD1,3OAR100,37,37,1203
HACD1,3OAR40,29,29,1212
HACD1,3OAR60,29,29,1212
HACD1,3OAR80,29,29,1212
HACD1,3OAS100,37,37,1203
HACD1,3OAS60,29,29,1212
HACD1,3OAS80,29,29,1212
HACD2,3HAD100,37,37,1198
HACD2,3HAD40,29,29,1220
HACD2,3HAD60,29,29,1220
HACD2,3HAD80,29,29,1220
HACD2,3OAR100,37,37,1198
HACD2,3OAR40,29,29,1220
HACD2,3OAR60,29,29,1220
HACD2,3OAR80,29,29,1220
HACD2,3OAS100,37,37,1198
HACD2,3OAS60,29,29,1220
HACD2,3OAS80,29,29,1220
HACD3,3HAD100,37,37,1116
HACD3,3HAD40,29,29,1163
HACD3,3HAD60,29,29,1163
HACD3,3HAD80,29,29,1163
HACD3,3OAR100,37,37,1116
HACD3,3OAR40,29,29,1163
HACD3,3OAR60,29,29,1163
HACD3,3OAR80,29,29,1163
HACD3,3OAS100,37,37,1116
HACD3,3OAS60,29,29,1163
HACD3,3OAS80,29,29,1163
HACD4,3HAD100,15,15,1146
HACD4,3OAR100,15,15,1146
HACD4,3OAS100,15,15,1146
Kt2pp,Kabcpp,254,261,1216
I2FE2SR,S2FE2SR,2,3,3
I2FE2SS,S2FE2SS,95,92,72
I2FE2SS,S2FE2SS2,88,79,68
I2FE2SS,S2FE2ST,5,5,114
I2FE2SS,S4FE4SR,88,79,68
I2FE2SS,S4FE4ST,88,79,68
I2FE2SS,SCYSDS,85,87,96
I2FE2SS2,S2FE2SS,94,89,72
I2FE2SS2,S2FE2SS2,98,87,50
I2FE2SS2,S4FE4SR,98,87,50
I2FE2SS2,S4FE4ST,98,87,50
I2FE2SS2,SCYSDS,89,83,78
I2FE2ST,S2FE2SS,5,5,8
I2FE2ST,S2FE2ST,11,11,10
I2FE2ST,SCYSDS,7,7,113
I4FE4SR,S2FE2SS,94,87,72
I4FE4SR,S2FE2SS2,98,87,50
I4FE4SR,S4FE4SR,98,87,50
I4FE4SR,S4FE4ST,98,87,50
I4FE4SR,SCYSDS,89,83,78
I4FE4ST,S2FE2SS,94,91,72
I4FE4ST,S2FE2SS2,98,83,50
I4FE4ST,S4FE4SR,98,83,50
I4FE4ST,S4FE4ST,98,83,50
I4FE4ST,SCYSDS,89,81,78
IMPD,HXAND,4,4,1232
IMPD,XPPT,4,4,1230
MN2tpp,MNt2pp,14,129,222
NI2tpp,NI2uabcpp,45,47,16
NDPK1,ADK3,2,2,1240
O2tex,CPPPGO2,446,443,498
O2tex,OPHHX3,445,441,490
O2tex,SUCCtex,448,447,494
O2tpp,CPPPGO2,440,437,492
O2tpp,OPHHX3,442,441,489
O2tpp,SUCCtex,442,439,493
PAPSR,GRXR,5,5,1166
PAPSR,GTHOr,5,5,1217
PAPSR,PAPSR2,10,10,1185
PDX5PO2,PDX5POi,3,3,330
OPHHX,OPHHX3,62,55,311
PIt2rpp,PIuabcpp,281,274,1146
POR5,FLDR2,3,4,1129
PPK,PPA,384,377,635
PPPGO3,PPPGO,9,9,656
PRPPS,R15BPK,4,4,1215
PRPPS,R1PK,4,4,1215
RPI,TALA,424,421,513
SO4t2pp,SULabcpp,260,254,1232
TRDR,GRXR,5,5,1181
TRDR,PAPSR2,5,5,1175
TRPS3,TRPS1,3,3,1186
VALTA,VPAMTr,3,3,1210
ZN2tpp,ZNabcpp,57,52,25
RNTR1c2,NDPK8,5,5,1220
RNTR3c2,NDPK7,5,6,1236
PRPPS,PPM,4,4,1219
ALATA_L,VPAMTr,3,3,1315
CPPPGO,CPPPGO2,10,10,773
VALTA,VPAMTr,3,3,1337
IMPD,XPPT,4,4,1304
IMPD,HXAND,4,4,1301
ECOAH4,3OAS100,15,15,1258
ECOAH4,3OAR100,15,15,1258
ECOAH4,3HAD100,15,15,1258
ECOAH1,3HAD80,28,29,1312
ECOAH1,3HAD40,28,29,1312
ECOAH1,3OAS60,28,29,1312
ECOAH1,3OAR60,28,29,1312
ECOAH1,3OAR80,28,29,1312
ECOAH1,3OAS80,28,29,1312
ECOAH1,3OAS100,36,37,1304
ECOAH1,3OAR40,28,29,1312
ECOAH1,3OAR100,36,37,1304
ECOAH1,3HAD60,28,29,1312
ECOAH1,3HAD100,36,37,1304
ECOAH2,3HAD80,29,29,1311
ECOAH2,3HAD40,29,29,1311
ECOAH2,3OAS60,29,29,1311
ECOAH2,3OAR60,29,29,1311
ECOAH2,3OAR80,29,29,1311
ECOAH2,3OAS80,29,29,1311
ECOAH2,3OAS100,37,36,1309
ECOAH2,3OAR40,29,29,1311
ECOAH2,3OAR100,37,36,1309
ECOAH2,3HAD60,29,29,1311
ECOAH2,3HAD100,37,36,1309
ECOAH3,3HAD80,29,28,1270
ECOAH3,3HAD40,29,28,1270
ECOAH3,3OAS60,29,28,1270
ECOAH3,3OAR60,29,28,1270
ECOAH3,3OAR80,29,28,1270
ECOAH3,3OAS80,29,28,1270
ECOAH3,3OAS100,37,36,1164
ECOAH3,3OAR40,29,28,1270
ECOAH3,3OAR100,37,36,1164
ECOAH3,3HAD60,29,28,1270
ECOAH3,3HAD100,37,36,1164
PPC,MALS,10,9,774
HACD4,3OAS100,15,15,1258
HACD4,3OAR100,15,15,1258
HACD4,3HAD100,15,15,1258
TRPS3,TRPS1,3,3,1279
NDPK2,PYK2,3,3,1216
NDPK4,PYK6,3,3,1220
ASNS2,ASNS1,3,3,1315
DMPPS,IPDDI,3,3,151
TRDR,PAPSR2,5,5,1276
TRDR,GRXR,5,5,1271
G3PD2,GLYK,207,204,1192
G3PD2,ALCD19,5,5,1275
G3PD2,GAPP,5,5,1301
AACPS3,3OAR160,15,15,1284
AACPS3,3OAS160,15,15,1284
AACPS3,3HAD160,15,15,1284
AACPS4,3OAS161,17,17,1325
AACPS4,3HAD161,17,17,1325
AACPS4,3OAR161,17,17,1325
PRPPS,R1PK,4,4,1285
PRPPS,R15BPK,4,4,1274
PAPSR,GTHOr,5,5,1280
PAPSR,PAPSR2,8,10,1261
PAPSR,GRXR,5,5,1244
GMPS,GMPS2,3,3,1314
ACACT2r,3HAD80,29,29,1311
ACACT2r,3HAD40,29,29,1311
ACACT2r,3OAS60,29,29,1311
ACACT2r,3OAR60,29,29,1311
ACACT2r,3OAR80,29,29,1311
ACACT2r,3OAS80,29,29,1311
ACACT2r,3OAS100,37,36,1309
ACACT2r,3OAR40,29,29,1311
ACACT2r,3OAR100,37,36,1309
ACACT2r,3HAD60,29,29,1311
ACACT2r,3HAD100,37,36,1309
ACACT3r,3HAD80,29,28,1270
ACACT3r,3HAD40,29,28,1270
ACACT3r,3OAS60,29,28,1270
ACACT3r,3OAR60,29,28,1270
ACACT3r,3OAR80,29,28,1270
ACACT3r,3OAS80,29,28,1270
ACACT3r,3OAS100,37,36,1164
ACACT3r,3OAR40,29,28,1270
ACACT3r,3OAR100,37,36,1164
ACACT3r,3HAD60,29,28,1270
ACACT3r,3HAD100,37,36,1164
ACACT4r,3OAS100,15,15,1258
ACACT4r,3OAR100,15,15,1258
ACACT4r,3HAD100,15,15,1258
Kt2pp,Kabcpp,201,187,1324
O2tpp,SUCCtex,429,434,486
O2tpp,CPPPGO2,432,427,485
HACD1,3HAD80,28,29,1312
HACD1,3HAD40,28,29,1312
HACD1,3OAS60,28,29,1312
HACD1,3OAR60,28,29,1312
HACD1,3OAR80,28,29,1312
HACD1,3OAS80,28,29,1312
HACD1,3OAS100,36,37,1304
HACD1,3OAR40,28,29,1312
HACD1,3OAR100,36,37,1304
HACD1,3HAD60,28,29,1312
HACD1,3HAD100,36,37,1304
O2tex,SUCCtex,434,431,492
O2tex,CPPPGO2,435,429,487
HACD2,3HAD80,29,29,1311
HACD2,3HAD40,29,29,1311
HACD2,3OAS60,29,29,1311
HACD2,3OAR60,29,29,1311
HACD2,3OAR80,29,29,1311
HACD2,3OAS80,29,29,1311
HACD2,3OAS100,37,36,1309
HACD2,3OAR40,29,29,1311
HACD2,3OAR100,37,36,1309
HACD2,3HAD60,29,29,1311
HACD2,3HAD100,37,36,1309
FACOAE160,3OAR160,15,15,1278
FACOAE160,3OAS160,15,15,1278
FACOAE160,3HAD160,15,15,1278
GLUDy,GLUSy,3,3,839
HACD3,3HAD80,29,28,1270
HACD3,3HAD40,29,28,1270
HACD3,3OAS60,29,28,1270
HACD3,3OAR60,29,28,1270
HACD3,3OAR80,29,28,1270
HACD3,3OAS80,29,28,1270
HACD3,3OAS100,37,36,1164
HACD3,3OAR40,29,28,1270
HACD3,3OAR100,37,36,1164
HACD3,3HAD60,29,28,1270
HACD3,3HAD100,37,36,1164
DUTPDP,DURIK1,178,174,1277
ACACT1r,3HAD80,28,28,1324
ACACT1r,3HAD40,28,28,1324
ACACT1r,3OAS60,28,28,1324
ACACT1r,3OAR60,28,28,1324
ACACT1r,3OAR80,28,28,1324
ACACT1r,3OAS80,28,28,1324
ACACT1r,3OAS100,37,36,1311
ACACT1r,3OAR40,28,28,1324
ACACT1r,3OAR100,37,36,1311
ACACT1r,3HAD60,28,28,1324
ACACT1r,3HAD100,37,36,1311
AACPS7,3OAR120,15,15,1217
AACPS7,3HAD120,15,15,1217
AACPS7,3OAS120,15,15,1217
FACOAE161,3OAS161,17,17,1299
FACOAE161,3HAD161,17,17,1299
FACOAE161,3OAR161,17,17,1299
PPPGO3,PPPGO,6,6,558
PDX5PO2,PDX5POi,3,4,235
RPI,TALA,413,414,508
RPI,EDTXS1,408,416,512
RPI,EDTXS2,408,409,523
RPI,LIPAabcpp,412,410,519
RPI,ENLIPAabctex,412,410,519
FACOAE120,3OAR120,15,15,1207
FACOAE120,3HAD120,15,15,1207
FACOAE120,3OAS120,15,15,1207
SO4t2pp,SULabcpp,193,194,1317
G3PAT160,APG3PAT160,3,3,1281
G3PAT161,APG3PAT161,3,3,1286
ZN2tpp,ZNabcpp,31,34,10
NI2tpp,NI2uabcpp,33,46,14
ACOAD3f,3HAD80,29,28,1270
ACOAD3f,3HAD40,29,28,1270
ACOAD3f,3OAS60,29,28,1270
ACOAD3f,3OAR60,29,28,1270
ACOAD3f,3OAR80,29,28,1270
ACOAD3f,3OAS80,29,28,1270
ACOAD3f,3OAS100,37,36,1164
ACOAD3f,3OAR40,29,28,1270
ACOAD3f,3OAR100,37,37,1164
ACOAD3f,3HAD60,29,28,1270
ACOAD3f,3HAD100,37,36,1164
ACOAD2f,3HAD80,29,29,1311
ACOAD2f,3HAD40,29,29,1311
ACOAD2f,3OAS60,29,29,1311
ACOAD2f,3OAR60,29,28,1311
ACOAD2f,3OAR80,29,29,1311
ACOAD2f,3OAS80,29,29,1311
ACOAD2f,3OAS100,37,36,1309
ACOAD2f,3OAR40,29,29,1311
ACOAD2f,3OAR100,37,36,1309
ACOAD2f,3HAD60,29,29,1311
ACOAD2f,3HAD100,37,36,1309
