,Rxn_1,Rxn_1_Type,Rxn_1_Min,Rxn_1_Max,Rxn_2,Rxn_2_Type,Rxn_2_Min,Rxn_2_Max,v1,v2,Type
0,GARFT,pFBAOpt_Rxns,-14.5718392804353,0.135515995739085,GART,ELE_Rxns,0.0,14.7073542006543,0.135515102408,0.0,PSL
1,GARFT,pFBAOpt_Rxns,-14.5718392804353,0.135515995739085,PFL,ELE_Rxns,0.0,34.2120682115401,0.135515102408,0.0,PSL
2,GHMT2r,pFBAOpt_Rxns,-14.3811156176078,-0.63093237733382,PGCD,ELE_Rxns,0.0,28.9525092795507,-0.63093389775628,0.0,PSL
3,GHMT2r,pFBAOpt_Rxns,-14.3811156176078,-0.63093237733382,PSERT,ELE_Rxns,0.0,28.9525092795507,-0.63093389775628,0.0,PSL
4,GHMT2r,pFBAOpt_Rxns,-14.3811156176078,-0.63093237733382,PSP_L,ELE_Rxns,0.0,28.9525092795507,-0.63093389775628,0.0,PSL
5,3HAD120,pFBAOpt_Rxns,0.0,0.0231955224075624,AACPS7,ELE_Rxns,0.0,60.5004505133078,0.023195075583373,0.0,PSL
6,3HAD120,pFBAOpt_Rxns,0.0,0.0231955224075624,FACOAE120,ELE_Rxns,0.0,20.1668168377701,0.023195075583373,0.0,PSL
7,3HAD120,pFBAOpt_Rxns,0.0,0.0231955224075624,ECOAH6,ELE_Rxns,-0.0231955224074909,0.0,0.023195075583373,0.0,PSL
8,3HAD120,pFBAOpt_Rxns,0.0,0.0231955224075624,HACD6i,ELE_Rxns,0.0,0.0231955224074877,0.023195075583373,0.0,PSL
9,3HAD120,pFBAOpt_Rxns,0.0,0.0231955224075624,ACACT9,ELE_Rxns,0.0,0.0231955224074877,0.023195075583373,0.0,PSL
10,3HAD140,pFBAOpt_Rxns,0.0,0.0186585944076199,AACPS1,ELE_Rxns,0.0,60.5004505132941,0.0186581414839358,0.0,PSL
11,3HAD140,pFBAOpt_Rxns,0.0,0.0186585944076199,FACOAE140,ELE_Rxns,0.0,20.166816837772,0.0186581414839358,0.0,PSL
12,3HAD160,pFBAOpt_Rxns,0.0,0.0325529364075959,AACPS3,ELE_Rxns,0.0,60.5004505132946,0.0138943606795266,0.0,PSL
13,3HAD160,pFBAOpt_Rxns,0.0,0.0325529364075959,FACOAE160,ELE_Rxns,0.0,20.1668168377719,0.0138943606795266,0.0,PSL
14,3OAR120,pFBAOpt_Rxns,0.0,0.0231955224076046,AACPS7,ELE_Rxns,0.0,60.5004505133078,0.023195075583373,0.0,PSL
15,3OAR120,pFBAOpt_Rxns,0.0,0.0231955224076046,FACOAE120,ELE_Rxns,0.0,20.1668168377701,0.023195075583373,0.0,PSL
16,3OAR120,pFBAOpt_Rxns,0.0,0.0231955224076046,ECOAH6,ELE_Rxns,-0.0231955224074909,0.0,0.023195075583373,0.0,PSL
17,3OAR120,pFBAOpt_Rxns,0.0,0.0231955224076046,HACD6i,ELE_Rxns,0.0,0.0231955224074877,0.023195075583373,0.0,PSL
18,3OAR120,pFBAOpt_Rxns,0.0,0.0231955224076046,ACACT9,ELE_Rxns,0.0,0.0231955224074877,0.023195075583373,0.0,PSL
19,3OAR160,pFBAOpt_Rxns,0.0,0.0325529364075692,AACPS3,ELE_Rxns,0.0,60.5004505132946,0.0138943606795266,0.0,PSL
20,3OAR160,pFBAOpt_Rxns,0.0,0.0325529364075692,FACOAE160,ELE_Rxns,0.0,20.1668168377719,0.0138943606795266,0.0,PSL
21,3OAS120,pFBAOpt_Rxns,0.0,0.0231955224075624,AACPS7,ELE_Rxns,0.0,60.5004505133078,0.023195075583373,0.0,PSL
22,3OAS120,pFBAOpt_Rxns,0.0,0.0231955224075624,FACOAE120,ELE_Rxns,0.0,20.1668168377701,0.023195075583373,0.0,PSL
23,3OAS120,pFBAOpt_Rxns,0.0,0.0231955224075624,ECOAH6,ELE_Rxns,-0.0231955224074909,0.0,0.023195075583373,0.0,PSL
24,3OAS120,pFBAOpt_Rxns,0.0,0.0231955224075624,HACD6i,ELE_Rxns,0.0,0.0231955224074877,0.023195075583373,0.0,PSL
25,3OAS120,pFBAOpt_Rxns,0.0,0.0231955224075624,ACACT9,ELE_Rxns,0.0,0.0231955224074877,0.023195075583373,0.0,PSL
26,3OAS160,pFBAOpt_Rxns,0.0,0.0325529364075959,AACPS3,ELE_Rxns,0.0,60.5004505132946,0.0138943606795266,0.0,PSL
27,3OAS160,pFBAOpt_Rxns,0.0,0.0325529364075959,FACOAE160,ELE_Rxns,0.0,20.1668168377719,0.0138943606795266,0.0,PSL
28,ASNS2,pFBAOpt_Rxns,0.0,60.5741755932985,ASNS1,ELE_Rxns,0.0,30.2870877966523,0.0737251791158556,0.0,PSL
29,CYSabcpp,pFBAOpt_Rxns,0.999995697937795,61.5004505133213,CYSS,ELE_Rxns,0.0,21.2380517478454,1.00000000000006,0.0,PSL
30,CYSabcpp,pFBAOpt_Rxns,0.999995697937795,61.5004505133213,SERAT,ELE_Rxns,0.0,21.2380517478468,1.00000000000006,0.0,PSL
31,CYSabcpp,pFBAOpt_Rxns,0.999995697937795,61.5004505133213,SULR,ELE_Rxns,0.0,14.167999353383,1.00000000000006,0.0,PSL
